,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location
3974,12857519,JF432423,2022-10-12T21:27:00.000,028XX N PULASKI RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,2523,025,30,21,15,2022,2022-10-24T16:47:03.000,,,,,
3975,12857788,JF432731,2022-10-12T21:30:00.000,006XX N TRUMBULL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1121,011,27,23,07,2022,2022-10-24T16:47:03.000,,,,,
3976,12858290,JF432450,2022-10-12T21:30:00.000,063XX S WHIPPLE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,0823,008,17,66,03,2022,2022-10-24T16:47:03.000,,,,,
3977,12857615,JF432537,2022-10-12T21:30:00.000,072XX S STONY ISLAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,True,0324,003,7,43,08A,2022,2022-10-24T16:47:03.000,,,,,
3978,12862367,JF437423,2022-10-12T21:30:00.000,020XX N OAKLEY AVE,0810,THEFT,OVER $500,STREET,False,False,1432,014,32,22,06,2022,2022-10-24T16:47:03.000,,,,,
3979,12857528,JF432420,2022-10-12T21:38:00.000,039XX N WESTERN AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,1921,019,47,5,26,2022,2022-10-24T16:47:03.000,,,,,
3980,12857541,JF432435,2022-10-12T21:40:00.000,034XX N BROADWAY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,False,True,1925,019,44,6,08B,2022,2022-10-24T16:47:03.000,,,,,
3981,12857739,JF432647,2022-10-12T21:45:00.000,072XX S DOBSON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0324,003,5,69,07,2022,2022-10-24T16:47:03.000,,,,,
3982,12857589,JF432444,2022-10-12T21:48:00.000,023XX W WOLFRAM ST,0460,BATTERY,SIMPLE,STREET,True,False,1432,014,32,21,08B,2022,2022-10-24T16:47:03.000,,,,,
3983,12857605,JF432453,2022-10-12T21:50:00.000,071XX S VINCENNES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0731,007,6,69,14,2022,2022-10-24T16:47:03.000,,,,,
3984,12857578,JF432455,2022-10-12T21:51:00.000,049XX W DIVERSEY AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,2521,025,31,19,26,2022,2022-10-24T16:47:03.000,,,,,
3985,12857626,JF432440,2022-10-12T21:57:00.000,020XX N PULASKI RD,1310,CRIMINAL DAMAGE,TO PROPERTY,MEDICAL / DENTAL OFFICE,False,False,2525,025,26,20,14,2022,2022-10-24T16:47:03.000,,,,,
3986,12857542,JF432438,2022-10-12T22:00:00.000,035XX W POLK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1133,011,24,27,07,2022,2022-10-24T16:47:03.000,,,,,
3987,12857740,JF432659,2022-10-12T22:00:00.000,084XX S SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0613,006,21,71,14,2022,2022-10-24T16:47:03.000,,,,,
3988,12862517,JF438589,2022-10-12T22:00:00.000,044XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0215,002,3,38,07,2022,2022-10-24T16:47:03.000,,,,,
3989,12857726,JF432637,2022-10-12T22:00:00.000,064XX S ELLIS AVE,0810,THEFT,OVER $500,STREET,False,False,0314,003,20,42,06,2022,2022-10-24T16:47:03.000,,,,,
3990,12857905,JF432830,2022-10-12T22:00:00.000,103XX S GREEN ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,2232,022,34,73,07,2022,2022-10-24T16:47:03.000,,,,,
3991,12858181,JF433332,2022-10-12T22:00:00.000,085XX W BRYN MAWR AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1614,016,41,76,14,2022,2022-10-24T16:47:03.000,,,,,
3992,12857614,JF432540,2022-10-12T22:00:00.000,072XX S STONY ISLAND AVE,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,RESTAURANT,False,True,0324,003,7,43,26,2022,2022-10-24T16:47:03.000,,,,,
3993,12857879,JF432887,2022-10-12T22:00:00.000,081XX S PERRY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0622,006,21,44,07,2022,2022-10-24T16:47:03.000,,,,,
3994,12857913,JF432782,2022-10-12T22:00:00.000,010XX W FOSTER AVE,0810,THEFT,OVER $500,STREET,False,False,2024,020,48,3,06,2022,2022-10-24T16:47:03.000,,,,,
3995,12857872,JF432838,2022-10-12T22:00:00.000,056XX W DIVERSEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2514,025,30,19,07,2022,2022-10-24T16:47:03.000,,,,,
3996,12859276,JF434708,2022-10-12T22:00:00.000,045XX N ALBANY AVE,0810,THEFT,OVER $500,STREET,False,False,1724,017,33,14,06,2022,2022-10-24T16:47:03.000,,,,,
3997,12858404,JF433596,2022-10-12T22:00:00.000,071XX S PRINCETON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,0731,007,6,69,26,2022,2022-10-24T16:47:03.000,,,,,
3998,12857897,JF432935,2022-10-12T22:00:00.000,045XX S WABASH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0215,002,3,38,14,2022,2022-10-24T16:47:03.000,,,,,
3999,12857583,JF432512,2022-10-12T22:00:00.000,079XX S LAFLIN ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,0612,006,21,71,08B,2022,2022-10-24T16:47:03.000,,,,,
4000,12857539,JF432462,2022-10-12T22:00:00.000,003XX W HUBBARD ST,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1831,018,42,8,06,2022,2022-10-24T16:47:03.000,,,,,
4001,12858361,JF433067,2022-10-12T22:00:00.000,058XX W EASTWOOD AVE,0810,THEFT,OVER $500,STREET,False,False,1622,016,45,15,06,2022,2022-10-24T16:47:03.000,,,,,
4002,12857771,JF432721,2022-10-12T22:00:00.000,031XX S PARNELL AVE,0810,THEFT,OVER $500,STREET,False,False,0915,009,11,60,06,2022,2022-10-24T16:47:03.000,,,,,
4003,12857514,JF432445,2022-10-12T22:05:00.000,030XX W MADISON ST,0460,BATTERY,SIMPLE,TAVERN / LIQUOR STORE,False,False,1124,011,28,27,08B,2022,2022-10-24T16:47:03.000,,,,,
4004,12857637,JF432476,2022-10-12T22:06:00.000,066XX S BISHOP ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,0725,007,16,67,05,2022,2022-10-24T16:47:03.000,,,,,
4005,12862312,JF432448,2022-10-12T22:09:00.000,047XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0223,002,3,38,08B,2022,2022-10-24T16:47:03.000,,,,,
4006,12864162,JF439228,2022-10-12T22:09:00.000,013XX E 63RD ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,0314,003,20,42,08B,2022,2022-10-24T16:47:03.000,,,,,
4007,12857537,JF432443,2022-10-12T22:10:00.000,048XX S FORRESTVILLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0223,002,4,38,08B,2022,2022-10-24T16:47:03.000,,,,,
4008,12857651,JF432549,2022-10-12T22:11:00.000,010XX W NORTH SHORE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,2432,024,49,1,26,2022,2022-10-24T16:47:03.000,,,,,
4009,12857597,JF432501,2022-10-12T22:15:00.000,055XX N LINCOLN AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,2011,020,40,4,06,2022,2022-10-24T16:47:03.000,,,,,
4010,12857669,JF432479,2022-10-12T22:15:00.000,009XX W WAVELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1923,019,46,6,14,2022,2022-10-24T16:47:03.000,,,,,
4011,12857692,JF432484,2022-10-12T22:20:00.000,040XX E 134TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,0433,004,10,55,08A,2022,2022-10-24T16:47:03.000,,,,,
4012,12857566,JF432461,2022-10-12T22:22:00.000,044XX N ST LOUIS AVE,1020,ARSON,BY FIRE,STREET,False,False,1723,017,35,14,09,2022,2022-10-24T16:47:03.000,,,,,
4013,12857611,JF432447,2022-10-12T22:24:00.000,015XX E 65TH PL,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,0321,003,5,42,04B,2022,2022-10-24T16:47:03.000,,,,,
4014,12857627,JF432460,2022-10-12T22:30:00.000,016XX N LARRABEE ST,1020,ARSON,BY FIRE,RESIDENCE - GARAGE,False,False,1813,018,43,7,09,2022,2022-10-24T16:47:03.000,,,,,
4015,12858030,JF432979,2022-10-12T22:30:00.000,014XX N SEDGWICK ST,0560,ASSAULT,SIMPLE,STREET,False,False,1821,018,27,8,08A,2022,2022-10-24T16:47:03.000,,,,,
4016,12857594,JF432465,2022-10-12T22:30:00.000,020XX W HURON ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,1221,012,1,24,03,2022,2022-10-24T16:47:03.000,,,,,
4017,12857609,JF432533,2022-10-12T22:30:00.000,0000X E 72ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0323,003,6,69,08B,2022,2022-10-24T16:47:03.000,,,,,
4018,12862752,JF434175,2022-10-12T22:30:00.000,002XX E 32ND ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0211,002,3,35,05,2022,2022-10-24T16:47:03.000,,,,,
4019,12857675,JF432570,2022-10-12T22:34:00.000,009XX S WESTERN AVE,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1225,012,28,28,05,2022,2022-10-24T16:47:03.000,,,,,
4020,12857671,JF432468,2022-10-12T22:41:00.000,051XX N GLENWOOD AVE,0331,ROBBERY,ATTEMPT AGGRAVATED,ALLEY,False,False,2033,020,47,3,03,2022,2022-10-24T16:47:03.000,,,,,
